NUMBER NAME & STATE/COUNTRY                                LAT   LON     ELEV (meters)
346010 ZAPAROZH'YE                                     UR  4748N 03515E    86   
347120 ZDANOV                                          UR  4704N 03730E    70   
347310 ROSTOV-NA-DONU                                  RS  4715N 03949E    77   
348800 ASTRAKHAN'                                      RS  4616N 04802E    18   
349290 KRASNODAR                                       RS  4502N 03909E    33   
351080 URAL'SK                                         RA  5115N 05124E    36   
351210 ORENBURG                                        RA  5147N 05513E   109   
351880 TSELINOGRAD                                     RA  5108N 07122E   348   
352290 AKTYUBINSK                                      RA  5018N 05714E   227   
353940 KARAGANDA                                       RA  4948N 07308E   555   
357000 GUR'YEV                                         RA  4701N 05151E   -15   
360030 PAVLODAR                                        RA  5217N 07657E   123   
360340 RUBTSOVSK                                       RA  5130N 08113E   215   
361770 SEMIPALATINSK                                   RA  5021N 08015E   196   
368700 ALMA ATA                                        RA  4314N 07656E   847   
369820 TJAN-SAN (MTN STN)                              RA  4155N 07814E  3614   
370310 ARMAVIR                                         RS  4459N 04107E   160   
371710 SOCHI                                           RS  4327N 03954E    16   
372350 GROZNYY                                         RS  4321N 04541E   162   
372600 SUKHUMI                                         RS  4252N 04108E    13   
373950 KUTAISI                                         RS  4216N 04238E   116   
374840 BATUMI                                          RS  4139N 04138E     6   
375490 TBILISI                                         RS  4141N 04457E   467   
377890 YEREVAN                                         RS  4008N 04428E   890   
383410 DZHAMBUL                                        RA  4251N 07123E   653   
383530 FRUNZE                                          RA  4251N 07432E   635   
383920 TASHAUZ                                         RA  4150N 05959E    88   
384570 TASHKENT                                        RA  4116N 06916E   489   
385990 LENINABAD                                       RA  4013N 06944E   428   
386960 SAMARKAND                                       RA  3942N 06700E   724   
388360 DUSHANBE                                        RA  3833N 06847E   803   
388800 ASHKHABAD                                       RA  3758N 05820E   210   
400800 DAMASCUS                                        SY  3325N 03631E   605   
401760 TEL AVIV-YAFO                                   IS  3206N 03447E     4   
401800 LOD                                             IS  3200N 03454E    49   
401840 JERUSALEM                                       IS  3147N 03513E   754   
401980 OVDA (ISR-AFB/CIV)                              IS  3000N 03450E   432   
401990 ELAT                                            IS  2933N 03457E    13   
402700 AMMAN                                           JD  3159N 03559E   773   
403560 TURAYF                                          SD  3141N 03840E   813   
403570 'AR'AR                                          SD  3054N 04108E   552   
403610 AL JAWF                                         SD  2947N 04006E   684   
403620 RAFHA                                           SD  2938N 04329E   447   
403730 HAFAR AL BATIN                                  SD  2820N 04607E   355   
403750 TABUK                                           SD  2822N 03638E   770   
403940 HA'IL                                           SD  2726N 04141E  1013   
404000 AL WAJH                                         SD  2612N 03628E    16   
404050 QASIM                                           SD  2618N 04346E   650   
404160 AZ ZAHRAN                                       SD  2616N 05009E    17   
404200 AL AHSA                                         SD  2517N 04929E   172   
404300 AL MADINAH                                      SD  2433N 03942E   631   
404380 RIYADH                                          SD  2443N 04643E   612   
404390 YANBU'AL BAHR                                   SD  2409N 03804E     1   
405820 KUWAIT                                          KW  2913N 04759E    55   
410240 JIDDAH                                          SD  2140N 03909E    12   
410300 MAKKAH                                          SD  2129N 03950E   310   
410360 AT TA'IF                                        SD  2129N 04033E  1449   
410550 AL BAHA                                         SD  2018N 04138E  1656   
411120 ABHA                                            SD  1814N 04239E  2084   
411140 KHAMIS MUSHAYT                                  SD  1818N 04248E  2054   
411400 JIZAN                                           SD  1654N 04235E     3   
411500 MANAMA                                          BN  2616N 05039E     2   
411700 AD DAWHAH                                       QT  2515N 05134E    10   
411840 RA'S AL KHAYMAH                                 ER  2537N 05556E    31   
411940 DUBAI                                           ER  2515N 05520E     5   
411960 SHARJAH                                         ER  2520N 05531E    33   
412170 ABU DHABI                                       ER  2426N 05439E    27   
412560 MASQAT                                          OM  2335N 05817E    15   
412880 TUR'AT MASIRAH                                  OM  2040N 05854E    19   
413140 THAMARIT                                        OM  1740N 05402E   445   
413160 SALALAH                                         OM  1702N 05405E    20   
417800 KARACHI                                         PK  2454N 06708E    22   
421820 NEW DELHI                                       IN  2835N 07712E   216   
423480 JAIPUR                                          IN  2649N 07548E   390   
423690 LUCKNOW                                         IN  2645N 08053E   128   
424920 PATNA                                           IN  2536N 08506E    60   
426470 AHMADABAD                                       IN  2304N 07238E    55   
426670 BHOPAL                                          IN  2317N 07721E   523   
